iter	Passed	Remaining
0	141	6933
1	142	3426
2	143	2249
3	144	1665
4	145	1312
5	146	1076
6	147	908
7	149	782
8	149	682
9	150	603
10	151	537
11	152	482
12	153	437
13	154	398
14	156	364
15	156	333
16	157	306
17	159	283
18	159	260
19	160	241
20	162	224
21	163	207
22	164	192
23	165	178
24	166	166
25	167	154
26	168	143
27	169	133
28	170	123
29	171	114
30	172	105
31	173	97
32	174	90
33	175	82
34	176	75
35	177	69
36	179	62
37	180	57
38	181	51
39	182	45
40	183	40
41	184	35
42	185	30
43	186	25
44	188	20
45	189	16
46	190	12
47	191	7
48	192	3
49	193	0
